"BehaviorSpace results (NetLogo 6.1.1)"
"Citizen_Model_Experiments.nlogo"
"experiment_5_increase_social_support"
"11/14/2020 09:57:52:985 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","814","0","784"
"[run number]","number-supported-initiatives","number-waste-collectors","debug?","number-cw","interaction-chance","resolution","verbose?","number-police-officers","random-seed","[step]","mean [pls] of citizens","standard-deviation [pls] of citizens"
"4","24","4","true","3","20","45","false","2","4","18","38.93680475395556","9.577541163287059"
"1","24","4","true","3","20","45","false","2","1","19","39.865775345472564","9.679856613888203"
"3","24","4","true","3","20","45","false","2","3","19","39.03607005608603","9.821956393877436"
"2","24","4","true","3","20","45","false","2","2","18","40.578726217609365","10.073006618754581"
"4","24","4","true","3","20","45","false","2","4","19","38.93691403966982","9.577510408644144"
"1","24","4","true","3","20","45","false","2","1","20","39.86687891690116","9.679797027544453"
"2","24","4","true","3","20","45","false","2","2","19","40.57964764618081","10.073337282186866"
"3","24","4","true","3","20","45","false","2","3","20","39.03710291322892","9.821965654062337"
"4","24","4","true","3","20","45","false","2","4","20","38.936963325384106","9.577556294192583"
"1","24","4","true","3","20","45","false","2","1","21","39.86826748832973","9.679672341988288"
"2","24","4","true","3","20","45","false","2","2","20","40.58071050332369","10.073624591928054"
"3","24","4","true","3","20","45","false","2","3","21","39.038472198943204","9.822081420194813"
"4","24","4","true","3","20","45","false","2","4","21","38.93704903966983","9.577501811397068"
"1","24","4","true","3","20","45","false","2","1","22","39.870118916901156","9.679503764444245"
"2","24","4","true","3","20","45","false","2","2","21","40.58204336046653","10.073855657722499"
"3","24","4","true","3","20","45","false","2","3","22","39.04015648465748","9.822230613196101"
"4","24","4","true","3","20","45","false","2","4","22","38.93707903966982","9.577448376573203"
"1","24","4","true","3","20","45","false","2","1","23","39.87225320261544","9.679433006150802"
"3","24","4","true","3","20","45","false","2","3","23","39.04213434180035","9.822307223828513"
"2","24","4","true","3","20","45","false","2","2","22","40.583682646180826","10.074046864537623"
"1","24","4","true","3","20","45","false","2","1","24","39.87461677404403","9.679456760682736"
"4","24","4","true","3","20","45","false","2","4","23","38.938084039669846","9.577361076542477"
"1","24","4","true","3","20","45","false","2","1","25","39.87716248832974","9.67946739379597"
"3","24","4","true","3","20","45","false","2","3","24","39.04441648465749","9.822324350216935"
"4","24","4","true","3","20","45","false","2","4","24","38.93930975395554","9.577359858788244"
"2","24","4","true","3","20","45","false","2","2","23","40.585714074752254","10.074224047060696"
"1","24","4","true","3","20","45","false","2","1","26","39.87986677404403","9.679488744148829"
"4","24","4","true","3","20","45","false","2","4","25","38.940649039669836","9.57738178307994"
"3","24","4","true","3","20","45","false","2","3","25","39.04690219894323","9.822357715761838"
"1","24","4","true","3","20","45","false","2","1","27","39.88259677404404","9.679465984353655"
"4","24","4","true","3","20","45","false","2","4","26","38.943406896812704","9.57740571206361"
"3","24","4","true","3","20","45","false","2","3","26","39.049615056086076","9.822407758757953"
"2","24","4","true","3","20","45","false","2","2","24","40.58796836046656","10.07432770103717"
"4","24","4","true","3","20","45","false","2","4","27","38.94617975395557","9.577472978996747"
"3","24","4","true","3","20","45","false","2","3","27","39.05236648465748","9.822422200661613"
"1","24","4","true","3","20","45","false","2","1","28","39.88536963118692","9.679502867963555"
"4","24","4","true","3","20","45","false","2","4","28","38.948974039669864","9.57748396490009"
"2","24","4","true","3","20","45","false","2","2","25","40.59048193189511","10.07425802667662"
"1","24","4","true","3","20","45","false","2","1","29","39.88821105975831","9.679486197846558"
"3","24","4","true","3","20","45","false","2","3","28","39.05517362751466","9.82247182066274"
"4","24","4","true","3","20","45","false","2","4","29","38.95182403966985","9.577470354502045"
"2","24","4","true","3","20","45","false","2","2","26","40.59318407475229","10.074232184410382"
"1","24","4","true","3","20","45","false","2","1","30","39.89104391690119","9.679480567465072"
"3","24","4","true","3","20","45","false","2","3","29","39.05804934180034","9.82248578912778"
"4","24","4","true","3","20","45","false","2","4","30","38.95467403966985","9.577468939277002"
"1","24","4","true","3","20","45","false","2","1","31","39.89391105975834","9.679501273636761"
"3","24","4","true","3","20","45","false","2","3","30","39.06087362751465","9.822434569764653"
"4","24","4","true","3","20","45","false","2","4","31","38.95748975395557","9.577456338442047"
"2","24","4","true","3","20","45","false","2","2","27","40.59590764618084","10.07420739906457"
"3","24","4","true","3","20","45","false","2","3","31","39.0637107703718","9.822442177628984"
"1","24","4","true","3","20","45","false","2","1","32","39.896773916901196","9.679528298824113"
"4","24","4","true","3","20","45","false","2","4","32","38.96037403966988","9.577509627131946"
"2","24","4","true","3","20","45","false","2","2","28","40.598684789038","10.07413013188225"
"3","24","4","true","3","20","45","false","2","3","32","39.06654362751465","9.82244175894538"
"4","24","4","true","3","20","45","false","2","4","33","38.915583563479395","9.733138429983914"
"2","24","4","true","3","20","45","false","2","2","29","40.60150050332371","10.074055464548993"
"1","24","4","true","3","20","45","false","2","1","33","39.80436867880597","9.694479369673058"
"3","24","4","true","3","20","45","false","2","3","33","39.0693464846575","9.822404916461053"
"2","24","4","true","3","20","45","false","2","2","30","40.60435050332368","10.074045823311376"
"4","24","4","true","3","20","45","false","2","4","34","38.91844213490797","9.733130267036188"
"1","24","4","true","3","20","45","false","2","1","34","39.807184393091646","9.694493528682667"
"3","24","4","true","3","20","45","false","2","3","34","39.07217934180037","9.82238940789679"
"1","24","4","true","3","20","45","false","2","1","35","39.81004296452026","9.694483336646115"
"4","24","4","true","3","20","45","false","2","4","35","38.92130927776512","9.73316005334137"
"2","24","4","true","3","20","45","false","2","2","31","40.607191931895144","10.074052757306868"
"1","24","4","true","3","20","45","false","2","1","36","39.81287582166312","9.694490466307247"
"3","24","4","true","3","20","45","false","2","3","35","39.075067913228956","9.82237088088103"
"2","24","4","true","3","20","45","false","2","2","32","40.60999907475231","10.074056743805102"
"4","24","4","true","3","20","45","false","2","4","36","38.92418927776511","9.733193550603623"
"1","24","4","true","3","20","45","false","2","1","37","39.81569153594884","9.694509983163783"
"3","24","4","true","3","20","45","false","2","3","36","39.077892198943246","9.822366515524639"
"4","24","4","true","3","20","45","false","2","4","37","38.927052134907974","9.733208602202103"
"1","24","4","true","3","20","45","false","2","1","38","39.8185243930917","9.694472546358837"
"3","24","4","true","3","20","45","false","2","3","37","39.08075934180038","9.822337805524755"
