"BehaviorSpace results (NetLogo 6.1.1)"
"Citizen_Model_Experiments.nlogo"
"experiment_3_increase_social_capacity"
"11/13/2020 07:57:45:328 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","814","0","784"
"[run number]","1","2","3","4"
"number-supported-initiatives","10","10","10","10"
"number-waste-collectors","4","4","4","4"
"debug?","true","true","true","true"
"number-cw","8","8","8","8"
"interaction-chance","20","20","20","20"
"verbose?","false","false","false","false"
"number-police-officers","2","2","2","2"
"resolution","45","45","45","45"
"random-seed","1","2","3","4"
"[reporter]","mean [pls] of citizens","mean [pls] of citizens","mean [pls] of citizens","mean [pls] of citizens"
"[final]","91.68541297990812","89.28823419131169","92.48399007628912","86.70656681112429"
"[min]","39.733542964520154","40.44709812237124","38.904570532276495","39.003506420622166"
"[max]","91.68541297990812","89.28823419131169","92.48399007628912","86.70656681112429"
"[mean]","60.44985201133099","58.70784196843508","60.452810742033385","56.26986178233253"
"[steps]","36167","36167","36167","36167"

"[all run data]","mean [pls] of citizens","mean [pls] of citizens","mean [pls] of citizens","mean [pls] of citizens"
,"39.733542964520154","40.44709812237124","38.904570532276495","39.003506420622166"
,"39.73634796452016","40.44986240808552","38.9074055322765","39.00635856347932"
,"39.73917653594875","40.45266740808552","38.910266246562216","39.009178563479324"
,"39.74201796452017","40.455493836656956","38.91313767513365","39.0120371349079"
,"39.74487225023444","40.45831383665697","38.91598767513367","39.01482284919361"
,"39.747726535948765","40.461150979514095","38.91882053227653","39.01765999205075"
,"39.75055082166305","40.46397955094269","38.92162338941936","39.02053142062218"
,"39.75330225023445","40.46676097951413","38.92443910370509","39.02335570633648"
,"39.755980821663044","40.46944812237127","38.927139103705095","39.026047134907905"
,"39.75859510737733","40.47209240808555","38.92976196084795","39.028575706336476"
,"39.760965107377345","40.47331383665697","38.93099196084795","39.03082570633649"
,"39.76203867880591","40.473457408085565","38.932003389419364","39.03269856347932"
,"39.76218439309164","40.47436597951412","38.93283267513368","39.03418570633651"
,"39.762985821663065","40.47510740808556","38.933552675133654","39.035381420622194"
,"39.763671535948774","40.47516097951414","38.93361267513367","39.03622999205077"
,"39.76375082166305","40.47520383665696","38.93367481799081","39.03687713490791"
,"39.763791535948776","40.47518240808555","38.93367053227655","39.037483563479334"
,"39.763862250234475","40.47510955094272","38.93370267513366","39.037933563479335"
,"39.76396296452022","40.47525740808555","38.93372838941937","39.03847356347934"
,"39.763980107377364","40.47535597951412","38.933816246562216","39.03911642062223"
,"39.76410010737733","40.47535812237126","38.93392981799081","39.04012356347935"
,"39.764190107377345","40.475336693799846","38.93402196084795","39.04130213490792"
,"39.76422653594878","40.47537312237127","38.934124817990806","39.04294356347936"
,"39.764297250234485","40.47549312237125","38.935151246562235","39.04491713490792"
,"39.76438939309165","40.47778383665699","38.93746338941939","39.04727213490792"
,"39.766960821663055","40.480280265228394","38.939942675133665","39.04985642062222"
,"39.76965225023453","40.48302526522839","38.94264696084796","39.05258856347936"
,"39.77236082166308","40.48574455094271","38.9454541037051","39.0553657063365"
,"39.775107964520224","40.48849597951412","38.94822267513364","39.058155706336514"
,"39.77794082166309","40.491320265228424","38.95107696084796","39.06099284919365"
,"39.780773678805936","40.49415312237129","38.953956960848","39.063851420622235"
,"39.78356796452023","40.49696455094272","38.956785532276555","39.066718563479384"
,"39.786456535948794","40.49982312237131","38.95960981799083","39.069555706336516"
,"39.78924225023452","40.5026431223713","38.91482362751465","39.07240999205082"
,"39.792066535948805","40.50551026522846","38.917639341800374","39.07522570633653"
,"39.79489510737739","40.50836455094273","38.920467913228954","39.07805856347939"
,"39.797702250234515","40.51120597951416","38.92330505608606","39.08086999205083"
,"39.80052653594881","40.51406026522846","38.92616791322894","39.08368999205084"
,"39.80332510737739","40.516910265228454","38.92898362751467","39.086522849193706"
,"39.80617510737738","40.51975597951418","38.931782198943246","39.08935999205084"
,"39.80894367880595","40.52260597951419","38.9345550560861","39.092132849193696"
,"39.81168653594883","40.52537026522848","38.93726791322894","39.094871420622276"
